gyro_x,gyro_y,gyro_z
1.891,1.989,1.555
1.439,1.971,1.43
0.4188,1.707,1.202
-0.5744,1.348,0.9087
-0.9153,0.9215,0.5984
-1.108,0.4059,0.2881
-1.067,-0.1109,-0.02837
-1.105,-0.6008,-0.4267
-1.598,-0.993,-0.853
-2.39,-1.236,-1.262
-2.677,-1.283,-1.614
-2.319,-1.184,-1.837
-1.634,-1.037,-1.861
-0.8603,-0.8134,-1.578
-0.04174,-0.4945,-1.053
0.3358,-0.1243,-0.08335
0.6326,0.2862,0.8647
1.041,0.693,1.578
1.809,1.097,1.95
2.201,1.385,1.984
2.388,1.499,1.765
2.156,1.429,1.333
1.573,1.191,0.8476
0.7634,0.8127,0.4701
0.1537,0.379,0.1512
0.05844,-0.05101,-0.1359
0.06577,-0.4835,-0.4047
-0.08939,-0.872,-0.6441
-0.407,-1.173,-0.8799
-0.7259,-1.357,-1.113
-0.8615,-1.405,-1.273
-0.9018,-1.363,-1.386
-0.9446,-1.215,-1.36
-0.7662,-0.9551,-1.158
-0.3056,-0.6338,-0.8225
0.08287,-0.2306,-0.3558
0.7011,0.2275,0.1598
1.364,0.6796,0.6253
1.73,1.073,1.02
1.608,1.353,1.247
1.722,1.527,1.345
1.731,1.56,1.27
1.674,1.438,1.021
0.9674,1.132,0.6802
0.2136,0.704,0.3479
0.045,0.2324,0.03027
0.01934,-0.2844,-0.2825
-0.159,-0.7657,-0.5708
-0.5842,-1.168,-0.8372
-0.9202,-1.418,-1.06
-1.035,-1.526,-1.215
-1.1,-1.511,-1.29
-1.107,-1.403,-1.245
-1.022,-1.142,-1.055
-0.8359,-0.6826,-0.7651
0.0621,-0.1316,-0.3766
0.6827,0.3974,0.07425
1.013,0.9276,0.5837
1.234,1.37,1.044
1.399,1.652,1.383
1.341,1.772,1.521
0.987,1.691,1.446
0.6534,1.455,1.217
0.2344,1.105,0.8647
-0.192,0.6845,0.4738
-0.2788,0.208,0.08769
-0.5256,-0.2831,-0.4034
-0.6538,-0.7413,-0.8201
-0.776,-1.159,-1.085
-0.8774,-1.474,-1.187
-1.055,-1.669,-1.212
-1.178,-1.691,-1.256
-1.317,-1.607,-1.303
-1.303,-1.403,-1.306
-1.072,-1.071,-1.155
-0.616,-0.6057,-0.7492
-0.1004,-0.03025,-0.0186
0.2038,0.5085,0.7548
0.3639,1.028,1.386
0.5361,1.457,1.77
