acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-0.05748,0.02874,9.86,-0.947,1.268,1.378,1
-0.08622,0.01437,9.927,-1.028,0.08948,0.1207,1
-0.05748,-0.03114,9.856,0.08165,-0.5983,-0.9593,1
-0.02874,0.02156,9.844,1.096,-1.236,-2.147,1
-0.07664,-0.01677,9.894,1.848,-1.918,-3.493,1
-0.1102,-0.00479,9.858,2.553,-2.681,-4.562,1
-0.06706,0.05269,9.882,3.219,-3.154,-4.857,1
-0.08143,-0.00479,9.817,3.603,-3.149,-4.182,1
-3.221,-8.004,-4.757,2.35,-2.29,-3.169,1
-0.07425,0.01437,9.935,-0.08817,-0.7437,-2.4,1
-0.05748,0.01198,9.918,0.2686,1.052,-0.8775,1
-0.0982,0.05988,9.867,-0.1297,2.726,1.589,1
-0.06227,0,9.87,-2.13,3.957,3.857,1
-0.04311,0.02395,9.87,-1.997,3.103,5.28,1
0.07664,-0.01916,10.05,-1.151,2.974,4.624,1
-0.04551,0.00479,9.808,-5.389,2.008,2.96,1
-0.07425,-0.00958,9.899,-0.9629,0.5745,2.232,1
-0.07904,0.03832,9.872,2.774,-0.3748,0.5678,1
-0.05269,0.02395,9.925,3.766,-1.28,-1.031,1
-0.0479,0.01677,9.915,3.132,-2.312,-1.993,1
-0.09341,-0.01198,9.841,2.971,-2.937,-2.417,1
-1.753,7.537,6.045,2.894,-3.366,-2.262,1
-0.0479,0.03114,9.879,2.741,-3.39,-1.562,1
-4.354,2.33,8.665,2.371,-3.086,-0.8225,1
-0.02874,-0.00479,9.879,2.001,-2.438,-0.6087,1
-0.05269,0.06227,9.903,2.209,-1.196,-0.4755,1
-1.586,7.504,6.17,0.6656,0.401,-0.3045,1
-3.394,-9.111,-4.745,-1.24,2.163,0.3662,1
-0.115,0.00958,9.906,-1.672,3.738,1.373,1
-0.06706,0.02874,9.848,-1.869,4.515,2.143,1
-0.07425,0.07904,9.923,-2.394,4.457,2.359,1
-0.07425,0.0479,9.93,-3.281,3.56,2.118,1
-0.08143,0.01677,9.923,-3.274,2.516,1.911,1
-0.02156,0.02874,9.911,-2.235,1.1,1.499,1
-0.05509,0.01677,9.906,-0.5158,-0.3039,0.2221,1
-0.0479,-0.01198,9.925,1.085,-2.033,-1.145,1
-1.859,-8.986,-5.662,1.964,-3.411,-2.021,1
-1.358,7.58,6.071,3.009,-3.943,-1.984,1
-0.07425,0.02635,9.882,2.889,-3.647,-1.305,1
-0.04551,0.01198,9.901,2.052,-2.84,-0.9056,1
-0.07425,0.00479,9.863,1.531,-1.925,-0.9447,1
-0.007185,0.01916,9.863,0.7426,-0.723,-0.8274,1
-0.0503,0.02635,9.918,-1.195,0.8738,-0.3143,1
-0.09341,0.01677,9.844,-3.164,2.68,0.8562,1
-0.05509,0.01677,9.834,-4.618,4.234,2.055,1
-0.01916,0.002395,9.896,-4.759,4.027,3.253,1
-0.0479,0.06227,9.872,-4.714,3.417,2.965,1
-0.05988,0.08383,9.853,-5.623,2.177,1.969,1
-0.07904,-0.002395,9.884,-2.517,1.485,1.568,1
-0.05988,0.00479,9.867,-1.328,0.5183,0.3333,1
-0.01916,0.0503,9.836,-0.1884,-0.464,-1.088,1
-0.03593,0.01677,9.829,0.6021,-1.256,-2.399,1
-7.408,0.6227,6.241,0.8697,-1.954,-3.708,1
-0.06227,0.01916,9.92,1.942,-2.789,-4.776,1
-2.987,-1.526,5.238,2.917,-3.606,-4.98,1
-0.05988,0.04551,9.899,2.415,-3.611,-4.383,1
-0.07664,0.03832,9.925,0.5007,-2.667,-3.607,1
-0.08622,0.02874,9.932,0.3517,-0.3149,-2.107,1
-2.144,7.372,6.217,1.031,1.771,0.1854,1
-7.494,0.3545,6.239,-0.7381,3.49,2.644,1
-0.08383,0.0503,9.853,-2.684,3.857,4.261,1
-3.564,6.052,6.172,-1.779,3.14,4.663,1
-0.007185,0.02635,9.906,-2.931,2.747,3.675,1
-7.353,0.7904,6.471,-3.999,1.178,3.113,1
-0.07425,0.01677,9.932,-1.101,0.5427,2.37,1
-0.05509,0.02156,9.887,-1.347,0.1628,1.021,1
-0.02874,0.01437,9.867,-0.1248,-0.387,-0.3106,1
-0.08862,-0.002395,9.867,1.231,-0.8366,-1.547,1
-0.04072,-0.01437,9.851,1.212,-1.401,-2.735,1
-2.421,-8.43,-6.16,2.944,-2.288,-3.659,1
-8.167,0.3808,5.671,4.276,-3.351,-3.999,1
-4.733,-8.464,-5.726,3.301,-4.055,-3.746,1
-7.966,-0.3209,5.444,1.958,-3.695,-3.006,1
-0.06946,0.04551,9.879,-0.4193,-1.976,-2.451,1
-2.266,7.561,5.954,-1.061,0.175,-1.804,1
-0.08383,0.007185,9.86,0.5777,2.064,0.1109,1
-0.06227,0.03353,9.867,-0.7943,4.039,2.457,1
-0.09341,0.02156,9.879,-2.648,4.582,4.228,1
-0.05509,0.002395,9.884,-1.753,3.826,4.791,1
-2.572,7.221,5.964,-4.11,2.7,3.517,1
-0.05748,0.02874,9.863,-3.966,1.441,2.783,1
-3.99,1.523,8.85,-1.397,0.3925,2.047,1
-0.07904,-0.02874,9.875,-1.233,-0.5483,0.5006,1
-0.0958,-0.03593,9.877,0.2014,-1.065,-0.9911,1
