gyro_x,gyro_y,gyro_z,acceleration_x,acceleration_y,acceleration_z,activity
-1.101,0.5427,2.37,-0.05269,0.02156,9.879,1
-1.347,0.1628,1.021,-0.04311,0.02874,9.865,1
-0.1248,-0.387,-0.3106,-0.01677,0.03114,9.851,1
1.231,-0.8366,-1.547,1.801,-2.151,8.102,1
1.212,-1.401,-2.735,-0.1054,0.04311,9.784,1
2.944,-2.288,-3.659,-0.05748,0.00479,9.87,1
4.276,-3.351,-3.999,-0.05269,0.06227,9.851,1
3.301,-4.055,-3.746,-1.633,-9.015,-4.352,1
1.958,-3.695,-3.006,-0.0503,0.02635,9.958,1
-0.4193,-1.976,-2.451,-5.236,-7.389,-1.523,1
-1.061,0.175,-1.804,-0.08862,0.002395,9.851,1
0.5777,2.064,0.1109,-0.07904,0.02395,9.891,1
-0.7943,4.039,2.457,-0.04311,-0.04311,9.836,1
-2.648,4.582,4.228,-1.578,7.487,6.134,1
-1.753,3.826,4.791,-0.08862,0.02874,9.875,1
-4.11,2.7,3.517,-0.06706,-0.02156,9.911,1
-3.966,1.441,2.783,-0.04311,-0.02395,9.882,1
-1.397,0.3925,2.047,-0.06706,0.04072,9.882,1
-1.233,-0.5483,0.5006,-7.415,0.479,6.457,1
