acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-5.705,-4.024,3.451,1.077,3.272,0.916,0
-7.231,1.997,-2.781,1.366,2.199,0.1121,0
-9.717,-2.941,2.886,1.135,0.7627,-0.4645,0
-11.22,-2.654,1.842,0.3248,-0.4762,-0.7174,0
-11.55,-2.151,0.7161,0.2148,-1.473,-0.7565,0
-9.252,-0.5604,-0.03832,0.3969,-2.091,-0.6209,0
-10.47,-0.2371,0.6395,0.4885,-2.461,-0.4523,0
-11.46,-1.049,0.3353,0.4103,-2.707,-0.3656,0
-10.76,-2.488,0.5916,0.3248,-2.746,-0.2788,0
-13.38,-2.311,-0.4862,0.07065,-2.624,-0.1603,0
-7.046,-5.726,2.457,-0.1236,-2.356,-0.1078,0
-11.22,-1.53,0.5892,-0.2042,-1.906,-0.06869,0
-11.96,-2.22,1.837,-0.01975,-1.231,0.0009468,0
-8.969,-4.495,2.488,-0.17,-0.4322,0.128,0
-9.23,-3.269,2.807,-0.6367,0.4597,0.3333,0
-13.46,-3.149,3.578,-1.081,1.479,0.5739,0
-8.191,-2.292,5.324,-2.339,2.524,0.9722,0
-10.05,-0.9748,-1.32,-3.951,3.294,1.551,0
-8.112,0.8454,-3.039,-5.58,3.427,2.188,0
-7.865,1.047,-1.535,-5.657,3.067,2.777,0
-12.53,-2.455,3.389,-4.467,2.535,2.948,0
-9.484,-1.193,2.884,-3.086,1.841,2.587,0
-7.288,-0.2515,-1.624,-1.783,1.352,1.71,0
-6.922,-1.614,3.799,-1.101,1.039,0.6656,0
-16.47,-2.448,2.373,-1.3,0.5977,-0.1102,0
-11.4,-2.031,1.411,-1.741,0.1946,-0.5427,0
-9.879,-2.338,3.731,-1.171,-0.1219,-0.803,0
-11.85,-3.066,1.799,-0.3056,-0.3577,-0.9312,0
-7.166,-0.3976,-0.9508,0.2637,-0.5886,-1.11,0
-11.19,-2.467,0.8718,0.4934,-0.7657,-1.395,0
-11.19,-1.902,3.166,0.6962,-0.9001,-1.758,0
-9.482,2.867,-0.8957,0.9344,-0.8989,-2.081,0
-12.06,-2.867,4.905,1.127,-0.8671,-2.275,0
-9.786,0.04072,-1.145,1.175,-0.795,-2.38,0
-8.653,-2.462,4.119,0.7756,-0.6155,-2.265,0
-12.25,-2.402,1.868,0.4738,-0.4346,-1.667,0
-9.654,-0.4072,-2.429,0.2967,-0.1952,-0.6185,0
-15.92,-2.426,1.741,0.7475,0.1958,0.5361,0
-7.956,-2.651,3.952,0.6852,0.6112,1.545,0
-8.929,-0.4311,-0.2443,0.5398,1.064,2.248,0
-11.42,-1.389,2.769,0.3126,1.447,2.59,0
-10.41,-2.335,2.33,0.3101,1.683,2.645,0
-9.408,-2.869,2.407,0.06332,1.718,2.519,0
-14.75,-2.045,1.803,-0.2348,1.481,2.254,0
-7.978,-0.2946,-1.653,-0.2531,1.102,1.824,0
-9.788,-2.517,3.061,-0.1798,0.7089,1.229,0
-8.538,-3.466,0.4335,-0.3056,0.2752,0.4835,0
-9.623,-2.922,3.578,-0.5463,-0.1426,-0.2556,0
-9.695,0.3233,-0.05509,-0.6453,-0.4908,-0.8787,0
-5.645,-0.5868,-1.511,-0.3252,-0.7462,-1.361,0
-12.94,-1.116,2.079,0.271,-0.9514,-1.69,0
-12.2,-0.4048,-0.17,1.125,-1.22,-1.893,0
-9.326,-2.92,2.773,1.143,-1.427,-2.121,0
-9.832,-0.9436,-1.171,0.9136,-1.394,-2.559,0
-10.29,-2.34,2.247,0.3248,-1.345,-2.655,0
-12.67,-1.219,1.336,0.1354,-1.143,-2.085,0
-11.14,-1.118,0.8287,0.2551,-0.5018,-0.8494,0
-8.742,-0.1461,-0.4982,0.2319,0.2275,0.5788,0
-10.45,0.1221,-0.6227,0.1855,0.8616,1.654,0
-6.831,0.4694,-1.65,0.3626,1.455,2.276,0
-12.86,-1.964,2.831,0.3272,1.949,2.438,0
-9.257,-2.682,3.145,0.3309,2.081,2.377,0
-7.391,1.097,-1.296,0.844,1.917,2.161,0
-0.6155,2.426,9.106,0.9369,1.641,1.782,0
-8.553,0.9748,-2.723,0.7279,1.259,1.275,0
-9.305,-2.237,2.594,-0.0393,0.7468,0.7548,0
-9.932,-1.526,-0.9532,-0.4547,0.2031,0.2881,0
-11.51,-2.515,2.201,-0.3667,-0.332,-0.2092,0
-0.5365,2.247,9.309,-0.2042,-0.8097,-0.7113,0
-8.938,-4,1.188,-0.04174,-1.197,-1.187,0
-0.479,2.412,9.415,0.3859,-1.535,-1.613,0
-0.6035,2.203,9.496,1.281,-1.886,-1.953,0
-11,-2.311,3.765,1.347,-2.196,-2.268,0
-0.8023,2.587,9.985,1.71,-2.505,-2.637,0
-13.36,-2.836,3.612,1.821,-2.92,-3.053,0
-13,-0.5365,1.31,2.994,-2.954,-2.91,0
-9.012,-2.536,4.596,4.097,-3.028,-2.402,0
-8.989,-3.066,2.797,5.265,-2.75,-1.512,0
-7.784,-3.506,4.524,3.945,-2.413,-1.034,0
-6.632,0.7496,-1.55,2.429,-1.747,-0.7248,0
-11.63,-1.255,0.6371,1.088,-1.03,-0.5782,0
-12.68,-1.53,0.06467,0.4213,-0.3259,-0.4144,0
-2.771,0.1437,6.653,-0.003871,0.1799,-0.2654,0
-12.65,-1.54,1.818,-0.4889,0.5965,0.00339,0
